is_dad_joke,dad_joke
1,What did the fish say when it swam into a wall? Damn!
1,"Nurse: Doctor, there's a patient that says he's invisible. Doctor: Well, tell him I can't see him right now!"
1,Why do birds fly south for the winter? Because it's too far to walk.
1,Why does a chicken coop only have two doors? Because if it had four doors it would be a chicken sedan.
1,Where does Fonzie like to go for lunch? Chick-Fil-Eyyyyyyyy.
1,What happens to a frog's car when it breaks down? It gets toad.
1,I was thinking about moving to Moscow but there is no point Russian into things.
1,Why does Superman get invited to dinners? Because he is a Supperhero.
1,"What's the difference between a guitar and a fish? You can tune a guitar but you can't ""tuna"" fish!"
1,What do I look like? A JOKE MACHINE!?
1,"Why couldn't the lifeguard save the hippie? He was too far out, man."
1,"Our wedding was so beautiful, even the cake was in tiers."
1,I ate a clock yesterday. It was so time consuming.
1,I don’t play soccer because I enjoy the sport. I’m just doing it for kicks.
1,Why do bears have hairy coats? Fur protection.
1,Did you hear about the runner who was criticized? He just took it in stride
1,"Have you heard the rumor going around about butter? Never mind, I shouldn't spread it."
1,"I've just written a song about a tortilla. Well, it is more of a rap really."
1,Why was Santa's little helper feeling depressed? Because he has low elf esteem.
1,Why is Peter Pan always flying? Because he Neverlands.
1,"I really want to buy one of those supermarket checkout dividers, but the cashier keeps putting it back."
1,What do you call a bee that lives in America? A USB.
1,How did Darth Vader know what Luke was getting for Christmas? He felt his presents.
1,What did the grape do when he got stepped on? He let out a little wine.
1,Why did the octopus beat the shark in a fight? Because it was well armed.
1,"I had a rough day, and then somebody went and ripped the front and back pages from my dictionary. It just goes from bad to worse."
1,I have the heart of a lion... and a lifetime ban from the San Diego Zoo.
1,What do prisoners use to call each other? Cell phones.
1,What's the best thing about elevator jokes? They work on so many levels.
1,Breaking news! Energizer Bunny arrested – charged with battery.
1,"If you walk into a forest and cut down a tree, but the tree doesn't understand why you cut it down, do you think it's stumped?"
1,Why don’t skeletons ever go trick or treating? Because they have nobody to go with.
1,"This morning I was wondering where the sun was, but then it dawned on me."
1,Americans can't switch from pounds to kilograms overnight. That would cause mass confusion.
1,"What did celery say when he broke up with his girlfriend? She wasn't right for me, so I really don't carrot all."
1,Milk is also the fastest liquid on earth – its pasteurized before you even see it
1,Why do crabs never give to charity? Because they’re shellfish.
1,What do you get hanging from Apple trees? Sore arms.
1,"I saw an ad in a shop window, ""Television for sale, $1, volume stuck on full"", I thought, ""I can't turn that down""."
1,A man was caught stealing in a supermarket today while balanced on the shoulders of a couple of vampires. He was charged with shoplifting on two counts.
1,Why are skeletons so calm? Because nothing gets under their skin.
1,Dad I’m hungry’ … ‘Hi hungry I’m dad
1,"As I suspected, someone has been adding soil to my garden. The plot thickens."
1,Slept like a log last night … woke up in the fireplace.
1,"What’s the advantage of living in Switzerland? Well, the flag is a big plus."
1,Can a kangaroo jump higher than the Empire State Building? Of course. The Empire State Building can't jump.
1,I wear a stethoscope so that in a medical emergency I can teach people a valuable lesson about assumptions.
1,What did one snowman say to the other snow man? Do you smell carrot?
1,"I applied to be a doorman but didn't get the job due to lack of experience. That surprised me, I thought it was an entry level position."
1,Q: What’s 50 Cent’s name in Zimbabwe? A: 200 Dollars.
1,"My cat was just sick on the carpet, I don’t think it’s feline well."
1,How do you make a hankie dance? Put a little boogie in it.
1,What does a pirate pay for his corn? A buccaneer!
1,How many South Americans does it take to change a lightbulb? A Brazilian
1,Whiteboards ... are remarkable.
1,"Can I watch the TV? Dad: Yes, but don’t turn it on."
1,"I gave all my dead batteries away today, free of charge."
1,What do you call a bee that lives in America? A USB.
1,What's the worst thing about ancient history class? The teachers tend to Babylon.
1,I am terrified of elevators. I’m going to start taking steps to avoid them.
1,I needed a password eight characters long so I picked Snow White and the Seven Dwarfs.
1,What did the Red light say to the Green light? Don't look at me I'm changing!
1,Why did the burglar hang his mugshot on the wall? To prove that he was framed!
1,Did you hear the one about the guy with the broken hearing aid? Neither did he.
1,"“Hold on, I have something in my shoe”  “I’m pretty sure it’s a foot”"
1,What do I look like? A JOKE MACHINE!?
1,"I went to a book store and asked the saleswoman where the Self Help section was, she said if she told me it would defeat the purpose."
1,"I used to hate facial hair, but then it grew on me."
1,Breaking news! Energizer Bunny arrested – charged with battery.
1,Don't tell secrets in corn fields. Too many ears around.
1,What do you call a dictionary on drugs? High definition.
1,What did the Zen Buddist say to the hotdog vendor? Make me one with everything.
1,Where does batman go to the bathroom? The batroom.
1,"Did you hear about the new restaurant on the moon? The food is great, but there’s just no atmosphere."
1,"I just read a book about Stockholm syndrome. It was pretty bad at first, but by the end I liked it."
1,Have you heard of the band 1023MB? They haven't got a gig yet.
1,Why did the Clydesdale give the pony a glass of water?  Because he was a little horse!
1,To the guy who invented zero... thanks for nothing.
1,"""Hey, dad, did you get a haircut?"" ""No, I got them all cut."""
1,Why didn’t the skeleton cross the road? Because he had no guts.
1,"How many seconds are in a year?
12.
January 2nd, February 2nd, March 2nd, April 2nd.... etc"
1,"Why did the fireman wear red, white, and blue suspenders? To hold his pants up."
1,This is my step ladder. I never knew my real ladder.
1,A book just fell on my head. I only have my shelf to blame.
1,Atheism is a non-prophet organisation.
1,Is the pool safe for diving? It deep ends.
1,How does a dyslexic poet write? Inverse.
1,"Have you heard about the film ""Constipation"", you probably haven't because it's not out yet."
1,"Have you heard the rumor going around about butter? Never mind, I shouldn't spread it."
1,What do you get when you cross a snowman with a vampire? Frostbite.
1,My New Years resolution is to stop leaving things so late.
1,Why did the octopus beat the shark in a fight? Because it was well armed.
